Code,Label,Years,FE
202,,5,ons_import_carbon_factor.organizational_activity-type_public_administration_defense_services_compulsory_social_security_services
2031,,5,ons_import_carbon_factor.professional_services-type_other_business_services
204132,,7,ons_import_carbon_factor.construction-type_construction_work
2041512,,7,ons_import_carbon_factor.construction-type_construction_work
204158,,7,ons_import_carbon_factor.construction-type_construction_work
2041582,,7,ons_import_carbon_factor.construction-type_construction_work
2041642,,7,ons_import_carbon_factor.construction-type_construction_work
204172,,7,ons_import_carbon_factor.construction-type_construction_work
204182,,7,ons_import_carbon_factor.construction-type_construction_work
2042,,5,ons_import_carbon_factor.professional_services-type_research_development_services
20422,,7,ons_import_carbon_factor.construction-type_construction_work
2051,,7,ons_import_carbon_factor.professional_services-type_research_development_services
2121,,7,ons_import_carbon_factor.timber_forestry-type_products_of_forestry_logging_related_services
2128,,7,ons_import_carbon_factor.construction-type_construction_work
2131,,7,ons_import_carbon_factor.construction-type_construction_work
21311,,7,ons_import_carbon_factor.construction-type_construction_work
21312,,7,ons_import_carbon_factor.construction-type_construction_work
21316,,7,ons_import_carbon_factor.construction-type_construction_work
21318,,7,ons_import_carbon_factor.construction-type_construction_work
2132,,7,ons_import_carbon_factor.construction-type_construction_work
2135,,7,ons_import_carbon_factor.construction-type_construction_work
2138,,7,ons_import_carbon_factor.construction-type_construction_work
2151,,7,ons_import_carbon_factor.construction-type_construction_work
2152,,7,ons_import_carbon_factor.construction-type_construction_work
21531,,7,ons_import_carbon_factor.construction-type_construction_work
21532,,7,ons_import_carbon_factor.construction-type_construction_work
21533,,7,ons_import_carbon_factor.construction-type_construction_work
21534,,7,ons_import_carbon_factor.construction-type_construction_work
21538,,7,ons_import_carbon_factor.construction-type_construction_work
21568,,5,ons_import_carbon_factor.machinery-type_machinery_equipment_not_elsewhere_specified
21571,,5,ons_import_carbon_factor.vehicle_manufacture-type_sale_maintenance_repair_parts_accessories_motor_vehicles_motorcycles
21578,,5,ons_import_carbon_factor.machinery-type_machinery_equipment_not_elsewhere_specified
2158,,5,ons_import_carbon_factor.machinery-type_machinery_equipment_not_elsewhere_specified
2181,,7,ons_import_carbon_factor.construction-type_construction_work
2182,,5,ons_import_carbon_factor.passenger_vehicle-type_motor_vehicles_trailers_semitrailers-fuel_source_na-engine_size_na-vehicle_age_na-vehicle_weight_na
2183,,5,ons_import_carbon_factor.office_equipment-type_office_machinery_computers
2184,,5,ons_import_carbon_factor.consumer_goods-type_furniture_other_manufactured_goods_not_elsewhere_specified
2188,,5,ons_import_carbon_factor.consumer_goods-type_furniture_other_manufactured_goods_not_elsewhere_specified
