insee,postal
50234,50410
50253,50170
50256,50540
50256,50540
50259,50220
50260,50520
50261,50160
50269,50480
50270,50700
50277,50290
50281,50320
50291,50410
50292,50570
50292,50570
50302,50570
50317,50220
50321,50000
25620,25650
50326,50450
25624,25640
50328,50190
26001,26150
50335,50700
26003,26770
50342,50760
26009,26140
50359,50140
26011,26400
50364,50490
26013,26110
50370,50390
26021,26400
50371,50140
26024,26120
50373,50480
26026,26570
50379,50370
26027,26150
50389,50210
26028,26260
50391,50600
26033,26790
50398,50160
26038,26600
50402,50340
26040,26310
50405,50250
26051,26460
50409,50620
26056,26460
50410,50170
26060,26460
50410,50170
26064,26120
50410,50170
26067,26470
50419,50660
26076,26310
50419,50660
26082,26110
50421,50310
26083,26330
50433,50760
26086,26410
50444,50160
26090,26340
50444,50160
26093,26130
50447,50380
26097,26270
50453,50800
26099,26230
50461,50310
26108,26400
50474,50720
26112,26110
50480,50340
26113,26150
50482,50190
26119,26600
50484,50730
26122,26340
50486,50390
26125,26400
50487,50240
26128,26400
50487,50240
26130,26110
50487,50240
26136,26310
50491,50680
26145,26290
50492,50810
26146,26230
50492,50810
26155,26210
50506,50200
26156,26600
50517,50480
26171,26160
50518,50800
26176,26740
50523,50480
26195,26400
50531,50300
26198,26200
50532,50380
26201,26170
50535,50870
26203,26230
50535,50870
26210,26350
50536,50270
26210,26350
50537,50200
26223,26190
50549,50510
26225,26750
50554,50300
26226,26770
50567,50700
26235,26700
50570,50640
26241,26460
50571,50480
26246,26150
50591,50640
26251,26160
50591,50640
26252,26800
50599,50470
26257,26160
50604,50340
26259,26330
50606,50620
26270,26190
50612,50300
26277,26400
50618,50330
26279,26170
50639,50800
26287,26450
50643,50690
26288,26510
51002,51530
26311,26190
51013,51170
26313,26320
51014,51170
26319,26750
51017,51290
26323,26750
51028,51160
26324,26130
51029,51190
26339,26740
51030,51160
26341,26600
51031,51400
26349,26390
51033,51270
26352,26160
51045,51270
26359,26150
51051,51220
26360,26230
51055,51450
26368,26340
51056,51260
26374,5700
51057,51330
27014,27400
51061,51400
27032,27240
51063,51700
27043,27160
51066,51300
27045,27140
51068,51340
27047,27190
51071,51310
27048,27480
51073,51170
27049,27330
51074,51110
27049,27410
51075,51110
27049,27410
51082,51800
27049,27410
51092,51120
27050,27170
51094,51300
27052,27800
51099,51320
27055,27110
51110,51130
27066,27480
51115,51500
27071,27260
51116,51310
27072,27620
51124,51260
27078,27220
51129,51120
27081,27120
51133,51330
27082,27190
51135,51290
27089,27290
51136,51700
27089,27520
51145,51140
27094,27480
51156,51300
27095,27800
51160,51510
27096,27250
51161,51150
27096,27250
51163,51270
27099,27930
51167,51320
27100,27210
51172,51350
27102,27310
51175,51210
27105,27520
51178,51240
27106,27230
51192,51700
27106,27230
51193,51460
27106,27230
51196,51530
27107,27500
51208,51240
27108,27580
51217,51700
27109,27170
51219,51290
27112,27160
51223,51290
27115,27570
51226,51230
27133,27310
51228,51800
27134,27350
51229,51330
27138,27270
51247,51270
27139,27250
51249,51700
27147,27930
51250,51170
27153,27150
51251,51190
27158,27930
51255,51800
27162,27190
51266,51160
27165,27190
51278,51400
27167,27290
51282,51390
27168,27430
51284,51300
27177,27220
51285,51320
27189,27190
51286,51290
27192,27110
51300,51290
27198,27240
51303,51150
27198,27240
51312,51150
27198,27240
51316,51290
27198,27240
51317,51600
27202,27430
51321,51170
27213,27510
51326,51400
27213,27510
51329,51220
27213,27630
51368,51800
27229,27000
51372,51470
27229,27000
51382,51170
27231,27120
51386,51210
27233,27210
51392,51160
27237,27230
51393,51480
27243,27210
51398,51480
27246,27380
51399,51800
27258,27210
51404,51330
27276,27150
51409,51240
27277,27220
51418,51370
27294,27440
51422,51390
27302,27370
51424,51800
27312,27120
51426,51120
27316,27350
51433,51300
27319,27350
51436,51240
27322,27400
51457,51480
27323,27330
51461,51500
27326,27120
51463,51300
27331,27630
51466,51170
27338,27910
51472,51300
27345,27410
51478,52100
27350,27770
51492,51260
27353,27930
51496,51300
27366,27910
51504,51520
27370,27440
51513,51290
27371,27800
51518,51220
27373,27480
51522,52100
27380,27800
51530,51400
27390,27320
51536,51500
27391,27810
51543,51800
27392,27150
51544,51600
27398,27300
51548,51460
27399,27950
51567,51300
27411,27320
51569,51370
27412,27400
51582,51140
27415,27260
51585,51700
27419,27220
51587,51400
27434,27560
51590,51340
27438,27320
51594,51320
27441,27800
51596,51210
27444,27410
51598,51300
27447,27190
51612,51130
27458,27590
51613,51360
27463,27300
51614,51380
27486,27110
51617,51520
27487,27380
51619,51330
27488,27910
51635,51250
27495,27700
51643,51530
27502,27250
51648,51240
27507,27220
51656,51150
27516,27300
51660,51110
27518,27680
51663,51530
27529,27370
52002,52400
27530,27390
52009,52360
27533,27140
52012,52230
27537,27430
52015,52500
27553,27600
52016,52160
27562,27950
52021,52130
27565,27160
52031,52120
27565,27160
52037,52360
27572,27370
52038,52240
27582,27670
52044,52270
27590,27390
52055,52300
27597,27210
52058,52310
27598,27430
52058,52310
27606,27500
52059,52360
27613,27230
52060,52400
27615,27930
52061,52700
27625,27420
52064,52150
27627,27230
52066,52110
27632,27150
52069,52120
27640,27170
52072,52000
27641,27110
52083,52500
27661,27310
52083,52500
27662,27500
52087,52000
27666,27400
52088,52220
27670,27380
52089,52360
27671,27210
52092,52160
27674,27120
52094,52160
27679,27160
52094,52160
27681,27200
52094,52160
27682,27870
52094,52160
27683,27700
52094,52160
27685,27330
52099,52410
27696,27640
52104,52100
28004,28150
52113,52190
28012,28290
52114,52120
28012,28290
52115,52200
28012,28290
52123,52170
28015,28700
52124,52400
28023,28320
52127,52240
28027,28330
52134,52600
28034,28300
52137,52160
28035,28630
52140,52330
28036,28260
52140,52330
28040,28190
52156,52300
28045,28500
52160,52110
28047,28150
52164,52400
28048,28360
52171,52110
28050,28260
52173,52270
28051,28800
52181,52230
28062,28410
52189,52190
28078,28330
52190,52340
28086,28480
52197,52500
28089,28170
52198,52130
28103,28220
52211,52320
28103,28220
52227,52150
28107,28630
52230,52320
28113,28210
52231,52300
28120,28270
52235,52100
28128,28190
52237,52150
