Reg_com,dep_com,siren,insee,nom_com,ptot_2023,pmun_2023,pcap_2023
84,01,210100012,01001,L'Abergement-Clémenciat,821,806,15
84,01,210100020,01002,L'Abergement-de-Varey,268,262,6
84,01,210100046,01004,Ambérieu-en-Bugey,14662,14288,374
84,01,210100053,01005,Ambérieux-en-Dombes,1806,1782,24
84,01,210100061,01006,Ambléon,113,113,0
84,01,210100079,01007,Ambronay,2946,2827,119
84,01,210100087,01008,Ambutrix,781,768,13
84,01,210100095,01009,Andert-et-Condon,332,324,8
84,01,210100103,01010,Anglefort,1116,1101,15
84,01,210100111,01011,Apremont,379,368,11
84,01,210100129,01012,Aranc,330,327,3
84,01,210100137,01013,Arandas,147,143,4
84,01,210100145,01014,Arbent,3427,3336,91
84,01,200053668,01015,Arboys en Bugey,678,663,15
84,01,210100160,01016,Arbigny,467,458,9
84,01,210100178,01017,Argis,456,445,11
84,01,210100194,01019,Armix,30,26,4
84,01,210100210,01021,Ars-sur-Formans,1520,1490,30
84,01,210100228,01022,Artemare,1229,1213,16
84,01,210100236,01023,Asnières-sur-Saône,76,76,0
84,01,210100244,01024,Attignat,3365,3299,66
84,01,200077220,01025,Bâgé-Dommartin,4172,4068,104
84,01,210100269,01026,Bâgé-le-Châtel,1045,977,68
84,01,210100277,01027,Balan,2699,2647,52
84,01,210100285,01028,Baneins,642,625,17
84,01,210100293,01029,Beaupont,691,683,8
84,01,210100301,01030,Beauregard,836,821,15
84,01,210100319,01031,Bellignat,3905,3671,234
84,01,210100327,01032,Béligneux,3443,3414,29
84,01,200083863,01033,Valserhône,16770,16434,336
84,01,210100343,01034,Belley,9550,9207,343
84,01,210100350,01035,Belleydoux,316,308,8
84,01,200086411,01036,Valromey-sur-Séran,1358,1334,24
84,01,210100376,01037,Bénonces,312,309,3
84,01,210100384,01038,Bény,778,759,19
84,01,210100400,01040,Béréziat,490,480,10
84,01,210100418,01041,Bettant,768,748,20
84,01,210100426,01042,Bey,298,291,7
84,01,210100434,01043,Beynost,4943,4829,114
84,01,210100442,01044,Billiat,645,628,17
84,01,210100459,01045,Birieux,288,285,3
84,01,210100467,01046,Biziat,920,912,8
84,01,210100475,01047,Blyes,1303,1269,34
84,01,210100491,01049,La Boisse,3412,3335,77
84,01,210100509,01050,Boissey,384,380,4
84,01,210100517,01051,Bolozon,92,91,1
84,01,210100525,01052,Bouligneux,338,332,6
84,01,210100533,01053,Bourg-en-Bresse,43363,41681,1682
84,01,210100541,01054,Bourg-Saint-Christophe,1517,1482,35
84,01,210100566,01056,Boyeux-Saint-Jérôme,355,351,4
84,01,210100574,01057,Boz,530,514,16
84,01,210100582,01058,Brégnier-Cordon,838,819,19
84,01,210100608,01060,Brénod,505,486,19
84,01,210100616,01061,Brens,1166,1133,33
84,01,210100624,01062,Bressolles,974,951,23
